IV1,IV2,DV,timeStamp,,,,,,,,,
45,150,0.0305416,2020-09-24 AM 1:10:48,,,,,,,,,
45,300,0.014866,2020-09-24 AM 1:10:48,,,,,,15-150,15-300,15-450,15-600
30,450,0.0113144,2020-09-24 AM 1:10:48,,,,,,0.011114317,0.011008163,0.01233178,0.011698073
15,300,0.0109794,2020-09-24 AM 1:10:48,,,,,,,,,
15,150,0.0103944,2020-09-24 AM 1:10:48,,,,,,30-150,30-300,30-450,30-600
15,600,0.0126988,2020-09-24 AM 1:10:48,,,,,,0.012275127,0.0111955,0.0120127,0.012182
15,450,0.0122848,2020-09-24 AM 1:10:48,,,,,,,,,
30,600,0.0132018,2020-09-24 AM 1:10:48,,,,,,45-150,45-300,45-450,45-600
30,300,0.0127533,2020-09-24 AM 1:10:49,,,,,,0.01180795,0.012240403,0.01192633,0.010823913
30,150,0.0123425,2020-09-24 AM 1:10:49,,,,,,,,,
45,450,0.0147789,2020-09-24 AM 1:10:49,,,,,,,,,
45,600,0.0136096,2020-09-24 AM 1:10:49,,,,,,,,,
15,600,0.0228728,2020-09-24 AM 1:11:06,,,,,,,,,
30,600,0.0129552,2020-09-24 AM 1:11:06,,,,,,,,,
15,450,0.0118596,2020-09-24 AM 1:11:06,,,,,,,,,
30,450,0.0076955,2020-09-24 AM 1:11:06,,,,,,,,,
15,300,0.0117539,2020-09-24 AM 1:11:06,,,,,,,,,
30,300,0.0116395,2020-09-24 AM 1:11:06,,,,,,,,,
15,150,0.0089005,2020-09-24 AM 1:11:06,,,,,,,,,
45,450,0.0103068,2020-09-24 AM 1:11:06,,,,,,,,,
45,300,0.0117543,2020-09-24 AM 1:11:06,,,,,,,,,
45,600,0.0118467,2020-09-24 AM 1:11:06,,,,,,,,,
30,150,0.0119815,2020-09-24 AM 1:11:06,,,,,,,,,
45,150,0.0089407,2020-09-24 AM 1:11:06,,,,,,,,,
15,450,0.0206433,2020-09-24 AM 1:11:22,,,,,,,,,
15,600,0.0121697,2020-09-24 AM 1:11:22,,,,,,,,,
45,300,0.011606,2020-09-24 AM 1:11:22,,,,,,,,,
30,300,0.0116229,2020-09-24 AM 1:11:22,,,,,,,,,
30,600,0.0117041,2020-09-24 AM 1:11:22,,,,,,,,,
30,150,0.0107204,2020-09-24 AM 1:11:22,,,,,,,,,
45,600,0.0129433,2020-09-24 AM 1:11:22,,,,,,,,,
15,300,0.0103476,2020-09-24 AM 1:11:22,,,,,,,,,
30,450,0.0124326,2020-09-24 AM 1:11:22,,,,,,,,,
15,150,0.0098382,2020-09-24 AM 1:11:22,,,,,,,,,
45,150,0.0129407,2020-09-24 AM 1:11:22,,,,,,,,,
45,450,0.0127112,2020-09-24 AM 1:11:22,,,,,,,,,
15,450,0.0245392,2020-09-24 AM 1:11:37,,,,,,,,,
15,600,0.0102412,2020-09-24 AM 1:11:37,,,,,,,,,
45,600,0.0102617,2020-09-24 AM 1:11:37,,,,,,,,,
45,150,0.0110853,2020-09-24 AM 1:11:37,,,,,,,,,
30,150,0.0125516,2020-09-24 AM 1:11:37,,,,,,,,,
30,300,0.0098684,2020-09-24 AM 1:11:37,,,,,,,,,
15,300,0.0125298,2020-09-24 AM 1:11:37,,,,,,,,,
30,450,0.0116456,2020-09-24 AM 1:11:37,,,,,,,,,
45,450,0.0084335,2020-09-24 AM 1:11:37,,,,,,,,,
15,150,0.0108622,2020-09-24 AM 1:11:37,,,,,,,,,
45,300,0.0116795,2020-09-24 AM 1:11:37,,,,,,,,,
30,600,0.0119015,2020-09-24 AM 1:11:37,,,,,,,,,
45,150,0.021918,2020-09-24 AM 1:11:52,,,,,,,,,
15,450,0.0111238,2020-09-24 AM 1:11:52,,,,,,,,,
15,300,0.0114861,2020-09-24 AM 1:11:52,,,,,,,,,
30,600,0.0091049,2020-09-24 AM 1:11:52,,,,,,,,,
30,450,0.0133926,2020-09-24 AM 1:11:52,,,,,,,,,
30,150,0.0114167,2020-09-24 AM 1:11:52,,,,,,,,,
45,450,0.0107253,2020-09-24 AM 1:11:52,,,,,,,,,
15,150,0.0109623,2020-09-24 AM 1:11:52,,,,,,,,,
15,600,0.0112782,2020-09-24 AM 1:11:52,,,,,,,,,
45,600,0.0119408,2020-09-24 AM 1:11:52,,,,,,,,,
45,300,0.0124543,2020-09-24 AM 1:11:52,,,,,,,,,
30,300,0.0098051,2020-09-24 AM 1:11:52,,,,,,,,,
45,450,0.0188646,2020-09-24 AM 1:12:07,,,,,,,,,
30,300,0.0125989,2020-09-24 AM 1:12:07,,,,,,,,,
30,600,0.0099745,2020-09-24 AM 1:12:07,,,,,,,,,
15,150,0.0106594,2020-09-24 AM 1:12:07,,,,,,,,,
45,600,0.0090933,2020-09-24 AM 1:12:07,,,,,,,,,
30,150,0.0112322,2020-09-24 AM 1:12:07,,,,,,,,,
45,300,0.0066469,2020-09-24 AM 1:12:07,,,,,,,,,
15,450,0.0092864,2020-09-24 AM 1:12:07,,,,,,,,,
45,150,0.0116297,2020-09-24 AM 1:12:07,,,,,,,,,
15,600,0.0101922,2020-09-24 AM 1:12:07,,,,,,,,,
30,450,0.0107924,2020-09-24 AM 1:12:07,,,,,,,,,
15,300,0.0111457,2020-09-24 AM 1:12:07,,,,,,,,,
30,600,0.0211948,2020-09-24 AM 1:12:22,,,,,,,,,
30,300,0.0095011,2020-09-24 AM 1:12:22,,,,,,,,,
30,150,0.0129435,2020-09-24 AM 1:12:22,,,,,,,,,
15,150,0.013096,2020-09-24 AM 1:12:22,,,,,,,,,
45,600,0.0121904,2020-09-24 AM 1:12:22,,,,,,,,,
15,450,0.0117056,2020-09-24 AM 1:12:22,,,,,,,,,
45,300,0.0131198,2020-09-24 AM 1:12:22,,,,,,,,,
15,600,0.0123424,2020-09-24 AM 1:12:22,,,,,,,,,
45,450,0.008362,2020-09-24 AM 1:12:22,,,,,,,,,
30,450,0.0115642,2020-09-24 AM 1:12:22,,,,,,,,,
45,150,0.0085196,2020-09-24 AM 1:12:22,,,,,,,,,
15,300,0.0099016,2020-09-24 AM 1:12:22,,,,,,,,,
30,300,0.0209558,2020-09-24 AM 1:12:36,,,,,,,,,
30,150,0.0131227,2020-09-24 AM 1:12:36,,,,,,,,,
30,600,0.0097693,2020-09-24 AM 1:12:36,,,,,,,,,
15,300,0.0101892,2020-09-24 AM 1:12:36,,,,,,,,,
15,600,0.0115662,2020-09-24 AM 1:12:36,,,,,,,,,
45,300,0.0118182,2020-09-24 AM 1:12:36,,,,,,,,,
15,450,0.0118236,2020-09-24 AM 1:12:36,,,,,,,,,
45,150,0.0097483,2020-09-24 AM 1:12:36,,,,,,,,,
45,600,0.0095808,2020-09-24 AM 1:12:36,,,,,,,,,
30,450,0.0127257,2020-09-24 AM 1:12:36,,,,,,,,,
15,150,0.009728,2020-09-24 AM 1:12:36,,,,,,,,,
45,450,0.0125224,2020-09-24 AM 1:12:36,,,,,,,,,
15,150,0.0190085,2020-09-24 AM 1:12:51,,,,,,,,,
30,450,0.0107843,2020-09-24 AM 1:12:51,,,,,,,,,
45,150,0.011454,2020-09-24 AM 1:12:51,,,,,,,,,
45,300,0.0125977,2020-09-24 AM 1:12:51,,,,,,,,,
45,600,0.0093132,2020-09-24 AM 1:12:51,,,,,,,,,
30,150,0.0142117,2020-09-24 AM 1:12:51,,,,,,,,,
45,450,0.0128337,2020-09-24 AM 1:12:51,,,,,,,,,
15,300,0.0101523,2020-09-24 AM 1:12:51,,,,,,,,,
30,300,0.012524,2020-09-24 AM 1:12:51,,,,,,,,,
15,600,0.0132136,2020-09-24 AM 1:12:51,,,,,,,,,
15,450,0.0101222,2020-09-24 AM 1:12:51,,,,,,,,,
30,600,0.0126288,2020-09-24 AM 1:12:51,,,,,,,,,
30,150,0.020375,2020-09-24 AM 1:13:07,,,,,,,,,
30,450,0.0115484,2020-09-24 AM 1:13:07,,,,,,,,,
30,300,0.010198,2020-09-24 AM 1:13:07,,,,,,,,,
30,600,0.010586,2020-09-24 AM 1:13:07,,,,,,,,,
45,450,0.0104191,2020-09-24 AM 1:13:07,,,,,,,,,
45,150,0.0133496,2020-09-24 AM 1:13:07,,,,,,,,,
45,600,0.0100062,2020-09-24 AM 1:13:07,,,,,,,,,
15,150,0.0122492,2020-09-24 AM 1:13:07,,,,,,,,,
15,450,0.0097355,2020-09-24 AM 1:13:07,,,,,,,,,
15,300,0.0105057,2020-09-24 AM 1:13:07,,,,,,,,,
15,600,0.0111517,2020-09-24 AM 1:13:07,,,,,,,,,
45,300,0.0098367,2020-09-24 AM 1:13:07,,,,,,,,,
30,450,0.0203969,2020-09-24 AM 1:13:26,,,,,,,,,
30,600,0.0123973,2020-09-24 AM 1:13:26,,,,,,,,,
45,450,0.0114338,2020-09-24 AM 1:13:26,,,,,,,,,
15,600,0.0106499,2020-09-24 AM 1:13:26,,,,,,,,,
30,150,0.0116831,2020-09-24 AM 1:13:26,,,,,,,,,
