IV1,IV2,DV,w,d,meanTCT
30,300,0.0241777,10,150,0.010870597
30,450,0.0122494,10,300,0.011720607
20,600,0.0130843,10,450,0.01189744
10,600,0.0103939,10,600,0.011821023
10,450,0.0091439,20,150,0.01147807
10,300,0.0108347,20,300,0.011859157
20,150,0.0125113,20,450,0.010513933
20,450,0.009502,20,600,0.011246503
20,300,0.0112271,30,150,0.010921487
30,600,0.0136209,30,300,0.013173553
10,150,0.0104929,30,450,0.011935403
30,150,0.008647,30,600,0.010758563
10,300,0.0273518,,,
20,600,0.0120498,,,
20,300,0.0088429,,,
30,450,0.0096612,,,
20,450,0.009802,,,
10,450,0.0095371,,,
30,600,0.0090035,,,
10,600,0.0104697,,,
30,150,0.0138548,,,
10,150,0.0111015,,,
30,300,0.0133988,,,
20,150,0.0124652,,,
10,300,0.020938,,,
30,450,0.0110011,,,
30,150,0.0085985,,,
20,300,0.0109058,,,
30,600,0.0101545,,,
20,450,0.0123724,,,
30,300,0.0116223,,,
10,150,0.0103471,,,
10,450,0.0120723,,,
20,150,0.0091704,,,
20,600,0.010647,,,
10,600,0.0102542,,,
30,300,0.0177277,,,
30,600,0.0067993,,,
20,600,0.0078134,,,
20,450,0.0095117,,,
20,300,0.0111387,,,
20,150,0.011032,,,
10,450,0.011354,,,
10,600,0.0125307,,,
30,150,0.0108778,,,
30,450,0.0103791,,,
10,300,0.0101309,,,
10,150,0.0081465,,,
30,300,0.0210326,,,
10,300,0.0074227,,,
10,450,0.0130044,,,
30,600,0.0079017,,,
20,150,0.011329,,,
30,450,0.0087266,,,
10,600,0.0109561,,,
30,150,0.0100582,,,
20,450,0.0108734,,,
20,300,0.0093229,,,
10,150,0.0072791,,,
20,600,0.0102595,,,
30,450,0.0242452,,,
10,150,0.0100592,,,
30,150,0.0107754,,,
20,300,0.0124519,,,
10,300,0.0129289,,,
20,600,0.0099158,,,
20,150,0.0095801,,,
20,450,0.0070877,,,
10,450,0.0076034,,,
30,600,0.0109453,,,
10,600,0.010984,,,
30,300,0.0105689,,,
10,600,0.0203002,,,
10,450,0.0099147,,,
20,150,0.0119353,,,
10,150,0.0088315,,,
20,450,0.0103945,,,
10,300,0.0092228,,,
20,300,0.0141542,,,
30,300,0.0140013,,,
30,450,0.012005,,,
30,150,0.0092743,,,
20,600,0.0107626,,,
30,600,0.0117925,,,
30,300,0.0215191,,,
10,150,0.010644,,,
10,600,0.0081868,,,
10,300,0.0081837,,,
20,150,0.0076737,,,
30,450,0.0108794,,,
20,600,0.0110412,,,
30,600,0.0106072,,,
20,300,0.0116175,,,
20,450,0.0094735,,,
10,450,0.0115807,,,
30,150,0.0091852,,,
30,300,0.0157462,,,
30,450,0.0112984,,,
10,600,0.0108086,,,
10,300,0.0109874,,,
30,600,0.0091602,,,
10,450,0.0099677,,,
20,600,0.0100463,,,
20,300,0.0091703,,,
10,150,0.0117265,,,
30,150,0.009986,,,
20,150,0.0108398,,,
