IV1,IV2,DV,w,d,MeanTCT,
20,150,1.070598,15,150,1.156664187,
10,600,1.04977,15,300,1.126701913,
10,450,1.593707,15,450,1.171253067,
20,300,1.224543,15,600,1.158260543,
30,450,1.008559,30,150,0.966137763,
20,450,1.262291,30,300,0.988373293,
30,300,0.878652,30,450,1.049248203,
30,600,0.9028313,30,600,1.136024147,
20,600,1.1152,45,150,0.89388434,
10,150,1.335396,45,300,0.96193206,
30,150,0.8172053,45,450,0.95031644,
10,300,1.089872,45,600,1.037084993,
20,450,1.048174,,,,
20,600,1.115553,,,,
30,300,0.8288742,,,,
10,150,1.703853,,,,
30,450,0.8459305,,,,
10,600,1.10216,,,,
10,300,1.344163,,,,
20,150,1.005958,,,,
10,450,1.005501,,,,
30,150,0.9483353,,,,
20,300,0.8494191,,,,
30,600,1.03373,,,,
30,450,0.8917292,,,,
30,300,0.7812495,,,,
20,150,1.063878,,,,
20,600,1.063085,,,,
20,450,1.003602,,,,
10,300,1.149062,,,,
30,600,1.199555,,,,
10,150,1.217446,,,,
20,300,1.028464,,,,
10,450,1.128526,,,,
10,600,1.31419,,,,
30,150,0.8055798,,,,
10,450,0.9499412,,,,
30,300,0.891346,,,,
10,600,1.085638,,,,
30,450,0.9360828,,,,
30,150,0.9086543,,,,
20,450,0.8836486,,,,
20,600,0.9117851,,,,
20,300,0.8070192,,,,
20,150,1.188852,,,,
30,600,1.262236,,,,
10,150,1.131827,,,,
10,300,0.8549789,,,,
20,300,0.9259748,,,,
10,600,1.126886,,,,
10,450,1.242412,,,,
10,150,0.953121,,,,
10,300,1.163197,,,,
20,600,1.179663,,,,
20,150,1.04192,,,,
30,300,0.7703874,,,,
30,600,0.9879972,,,,
30,150,0.6759799,,,,
20,450,1.098544,,,,
30,450,1.097877,,,,
20,150,1.033728,,,,
20,300,0.8261147,,,,
30,150,0.9745931,,,,
10,450,1.070708,,,,
20,450,0.9184165,,,,
10,600,1.205201,,,,
10,150,1.133198,,,,
20,600,1.047879,,,,
30,600,1.132217,,,,
30,300,0.9770744,,,,
30,450,1.090212,,,,
10,300,0.8504098,,,,
20,450,1.046593,,,,
20,150,1.290403,,,,
20,600,1.075539,,,,
30,600,1.210825,,,,
10,150,0.9430997,,,,
30,450,0.8989586,,,,
30,150,0.9538838,,,,
10,600,1.039551,,,,
10,450,1.453736,,,,
20,300,1.098488,,,,
30,300,1.820715,,,,
10,300,1.040702,,,,
20,450,1.204437,,,,
10,150,0.9444211,,,,
20,150,1.019612,,,,
20,600,1.034225,,,,
10,600,1.15337,,,,
30,150,1.012179,,,,
30,300,0.8188938,,,,
30,600,0.9834703,,,,
10,300,1.101191,,,,
30,450,0.9711678,,,,
20,300,1.112202,,,,
10,450,0.9990048,,,,
10,600,1.024423,,,,
20,450,1.195773,,,,
30,300,0.9412254,,,,
30,450,0.9287861,,,,
10,300,1.193482,,,,
20,150,1.106107,,,,
20,300,1.053326,,,,
30,150,1.086259,,,,
10,150,0.8750461,,,,
10,450,1.703644,,,,
20,600,1.592626,,,,
30,600,1.084439,,,,
20,450,0.8567094,,,,
10,600,1.12676,,,,
20,600,1.423808,,,,
30,150,0.7075906,,,,
10,300,0.9597759,,,,
30,300,0.9910477,,,,
10,150,1.867502,,,,
30,450,0.9386923,,,,
30,600,0.9556222,,,,
10,450,1.12498,,,,
20,300,1.083392,,,,
20,150,1.117498,,,,
30,150,0.7316313,,,,
20,150,0.9969037,,,,
30,300,1.007107,,,,
30,600,0.9870151,,,,
20,450,1.055946,,,,
10,300,1.12283,,,,
10,450,0.8560996,,,,
30,450,0.9276042,,,,
10,150,1.193356,,,,
20,600,1.046093,,,,
20,300,0.9200852,,,,
10,600,1.403747,,,,
20,450,1.013735,,,,
20,600,1.436073,,,,
10,300,1.140903,,,,
30,600,1.078689,,,,
30,450,0.9589847,,,,
10,600,1.282385,,,,
30,150,1.03185,,,,
30,300,0.9288966,,,,
10,450,0.954788,,,,
20,150,0.8399674,,,,
20,300,0.8000985,,,,
10,150,1.33173,,,,
30,150,0.776792,,,,
30,450,0.707994,,,,
20,300,1.03925,,,,
30,600,0.9410813,,,,
10,600,1.152157,,,,
20,450,1.013494,,,,
30,300,1.067658,,,,
10,300,1.142115,,,,
20,600,1.069917,,,,
10,450,1.491246,,,,
10,150,1.319155,,,,
20,150,0.9430586,,,,
20,300,1.029246,,,,
20,600,1.127403,,,,
10,150,1.281748,,,,
10,450,1.240517,,,,
20,150,0.9041719,,,,
30,600,1.019605,,,,
30,150,1.096161,,,,
10,300,1.294092,,,,
30,450,1.068703,,,,
10,600,1.414617,,,,
30,300,1.154798,,,,
20,450,1.167682,,,,
20,600,1.51027,,,,
10,450,1.033557,,,,
20,450,0.8910528,,,,
10,150,1.063909,,,,
30,450,0.7808682,,,,
30,150,0.7500498,,,,
10,300,1.072377,,,,
30,300,0.8607455,,,,
30,600,1.751938,,,,
20,300,0.9537166,,,,
20,150,0.9153196,,,,
10,600,1.083201,,,,
10,300,1.090448,,,,
30,300,0.8411604,,,,
20,150,0.860334,,,,
30,150,0.7412319,,,,
10,450,1.066902,,,,
10,150,0.9366083,,,,
10,600,0.8678167,,,,
20,450,1.127011,,,,
20,600,1.134336,,,,
30,600,1.170747,,,,
20,300,1.133008,,,,
30,450,0.842684,,,,
20,450,1.042168,,,,
30,300,0.8727743,,,,
10,300,1.003603,,,,
10,150,0.9168815,,,,
30,600,1.105286,,,,
20,300,0.93882,,,,
30,150,0.9553327,,,,
20,600,0.8199253,,,,
10,600,1.354723,,,,
30,450,0.9890569,,,,
20,150,0.9818695,,,,
10,450,1.353034,,,,
30,150,0.7841305,,,,
20,150,0.8421443,,,,
30,600,0.871216,,,,
10,150,1.396937,,,,
20,600,1.156449,,,,
20,300,1.479803,,,,
20,450,1.163817,,,,
10,600,1.006131,,,,
30,300,1.03995,,,,
10,300,1.172935,,,,
30,450,1.195031,,,,
10,450,1.130084,,,,
30,300,0.9939808,,,,
20,300,1.132085,,,,
30,150,0.7737724,,,,
10,150,1.085323,,,,
10,450,1.088562,,,,
10,300,1.172846,,,,
30,450,0.9163101,,,,
30,600,1.035996,,,,
10,600,1.399316,,,,
20,450,1.046245,,,,
20,150,1.133892,,,,
20,600,0.8965743,,,,
30,300,0.9946684,,,,
20,150,1.045831,,,,
10,150,0.9136364,,,,
30,450,0.933265,,,,
10,450,0.9293338,,,,
10,600,1.145931,,,,
30,600,0.8759432,,,,
20,300,0.930065,,,,
10,300,1.140282,,,,
30,150,0.990012,,,,
20,450,1.056431,,,,
20,600,1.110093,,,,
20,300,0.896269,,,,
20,450,1.071311,,,,
30,150,0.7719191,,,,
20,150,0.7168491,,,,
30,300,0.8932534,,,,
10,300,1.309433,,,,
10,450,1.111536,,,,
30,600,0.924072,,,,
30,450,0.8735781,,,,
20,600,1.064008,,,,
10,150,1.104173,,,,
10,600,1.092593,,,,
10,600,1.099219,,,,
20,450,1.122679,,,,
20,600,1.153039,,,,
30,450,0.9659982,,,,
30,300,0.8755512,,,,
10,150,0.8882535,,,,
10,450,1.393053,,,,
30,150,0.8367769,,,,
20,150,0.7624217,,,,
30,600,0.9045294,,,,
20,300,0.8793293,,,,
10,300,1.262521,,,,
10,600,1.452517,,,,
30,150,0.9981925,,,,
20,150,0.8194449,,,,
20,600,0.9816439,,,,
30,300,0.8351073,,,,
10,300,0.9283805,,,,
30,450,0.8696356,,,,
20,300,1.12072,,,,
10,150,1.617231,,,,
30,600,1.016047,,,,
10,450,1.00681,,,,
20,450,1.127148,,,,
10,150,0.9207599,,,,
20,300,0.8179449,,,,
30,450,1.237522,,,,
20,600,1.276132,,,,
10,600,1.09508,,,,
10,300,1.516068,,,,
30,600,1.087076,,,,
30,150,1.002776,,,,
20,150,0.9447492,,,,
10,450,1.011546,,,,
30,300,1.033528,,,,
20,450,0.8421311,,,,
30,450,1.012794,,,,
20,450,1.127214,,,,
30,150,0.7619326,,,,
10,150,1.006717,,,,
20,150,0.9494122,,,,
10,450,1.039237,,,,
20,600,1.296612,,,,
30,300,0.925892,,,,
20,300,0.9733285,,,,
30,600,0.9698356,,,,
10,300,1.025338,,,,
10,600,1.114989,,,,
30,150,1.085925,,,,
20,300,0.8109136,,,,
20,150,0.7978686,,,,
10,600,1.116835,,,,
30,300,0.968376,,,,
30,450,0.9390705,,,,
10,150,1.38491,,,,
20,450,0.8967952,,,,
20,600,1.289062,,,,
10,450,1.369318,,,,
10,300,1.200685,,,,
30,600,1.191713,,,,
10,150,1.190805,,,,
20,300,1.057971,,,,
10,450,1.060645,,,,
20,600,1.109855,,,,
30,150,0.8098741,,,,
10,600,0.9594049,,,,
30,450,1.135368,,,,
20,450,1.148455,,,,
30,300,0.9357674,,,,
20,150,0.8033504,,,,
10,300,0.9175173,,,,
30,600,0.880533,,,,
20,300,0.7915064,,,,
10,300,1.210319,,,,
30,600,0.6977497,,,,
10,600,1.240131,,,,
30,300,0.9846904,,,,
30,150,0.9218702,,,,
10,450,1.174946,,,,
20,600,1.031363,,,,
30,450,0.7880366,,,,
20,450,0.9237025,,,,
10,150,0.9532424,,,,
20,150,1.032805,,,,
20,600,0.9676548,,,,
10,150,1.270608,,,,
30,450,0.9007431,,,,
20,450,1.117074,,,,
20,150,0.8953511,,,,
30,300,1.009333,,,,
10,600,0.9692317,,,,
20,300,1.051129,,,,
30,600,1.096762,,,,
10,450,1.783463,,,,
30,150,1.209636,,,,
10,300,1.273498,,,,
10,150,0.8190317,,,,
10,450,0.7707546,,,,
10,300,1.058033,,,,
20,600,1.044858,,,,
10,600,1.269842,,,,
20,450,1.005166,,,,
20,300,0.886967,,,,
30,300,0.9352587,,,,
30,150,0.8964041,,,,
20,150,0.8598347,,,,
30,600,0.7537925,,,,
30,450,0.8582507,,,,
