Width,Distance,MeanTCT,success,MousePosition,TargetPosition,timeStamp
20,300,0.8893334,False,3700.638,1920,2020-09-27 AM 2:25:42
20,600,0.4833592,False,3580.84,2220,2020-09-27 AM 2:25:42
30,300,0.3289627,False,3511.865,1920,2020-09-27 AM 2:25:42
30,150,0.3262922,False,3508.235,1770,2020-09-27 AM 2:25:42
20,150,0.3939105,False,3580.84,1770,2020-09-27 AM 2:25:42
20,450,0.3863373,False,3410.218,2070,2020-09-27 AM 2:25:42
30,600,0.3784071,False,3533.647,2220,2020-09-27 AM 2:25:42
10,450,0.4017745,False,3479.193,2070,2020-09-27 AM 2:25:42
30,450,0.5930318,False,3384.807,2070,2020-09-27 AM 2:25:42
10,300,0.4035137,False,3446.521,1920,2020-09-27 AM 2:25:42
10,150,0.4539122,False,3199.664,1770,2020-09-27 AM 2:25:42
10,600,0.4380806,False,3214.185,2220,2020-09-27 AM 2:25:42
