size,distance,Time.deltaTime,,"IV1
(1=0.05,  2=0.1,  3=0.2)","IV2
(1 = 3, 2 = 6, 3 = 9, 4 = 12)",DV
0.1,12,0.0182869,,2,4,
0.05,12,0.0107358,,1,4,
0.05,9,0.0087451,,1,3,
0.2,3,0.010613,,3,1,
0.2,6,0.0112798,,3,2,
0.2,9,0.0121035,,3,3,
0.1,3,0.0112551,,2,1,
0.1,9,0.0091004,,2,3,
0.2,12,0.0117016,,3,4,
0.05,3,0.0098138,,1,1,
0.05,6,0.0070126,,1,2,
0.1,6,0.0095777,,2,2,
0.2,12,0.0192383,,3,4,
0.1,3,0.0093658,,2,1,
0.05,6,0.0095958,,1,2,
0.1,9,0.0096802,,2,3,
0.05,9,0.0091237,,1,3,
0.1,6,0.0109195,,2,2,
0.1,12,0.0103337,,2,4,
0.2,6,0.0099953,,3,2,
0.05,3,0.0110599,,1,1,
0.2,3,0.0079498,,3,1,
0.05,12,0.0108776,,1,4,
0.2,9,0.0094044,,3,3,
0.1,3,0.0201234,,2,1,
0.1,12,0.0111372,,2,4,
0.2,12,0.0131029,,3,4,
0.2,3,0.0093293,,3,1,
0.05,3,0.0101977,,1,1,
0.05,12,0.0109134,,1,4,
0.2,6,0.0117299,,3,2,
0.2,9,0.009685,,3,3,
0.1,9,0.0099292,,2,3,
0.05,6,0.0096811,,1,2,
0.05,9,0.0057172,,1,3,
0.1,6,0.0102463,,2,2,
0.05,3,0.0193426,,1,1,
0.1,9,0.008962,,2,3,
0.05,9,0.0098899,,1,3,
0.2,3,0.0097881,,3,1,
0.2,9,0.0141445,,3,3,
0.1,12,0.0086345,,2,4,
0.1,3,0.0089028,,2,1,
0.2,12,0.0100273,,3,4,
0.1,6,0.0108567,,2,2,
0.05,12,0.010239,,1,4,
0.05,6,0.0095964,,1,2,
0.2,6,0.009272,,3,2,
0.2,12,0.0155452,,3,4,
0.1,6,0.0079204,,2,2,
0.2,6,0.009461,,3,2,
0.2,9,0.0096669,,3,3,
0.1,9,0.0089141,,2,3,
0.2,3,0.0079078,,3,1,
0.05,3,0.0146749,,1,1,
0.05,6,0.0098383,,1,2,
0.05,9,0.0113895,,1,3,
0.05,12,0.0119175,,1,4,
0.1,12,0.0127554,,2,4,
0.1,3,0.0093202,,2,1,
0.2,3,0.0202822,,3,1,
0.05,9,0.0073288,,1,3,
0.05,3,0.0098975,,1,1,
0.1,12,0.0085963,,2,4,
0.05,6,0.0087941,,1,2,
0.1,3,0.0061879,,2,1,
0.2,12,0.0102157,,3,4,
0.1,6,0.0106514,,2,2,
0.2,6,0.0105221,,3,2,
0.05,12,0.0110555,,1,4,
0.1,9,0.010168,,2,3,
0.2,9,0.0090713,,3,3,
0.1,6,0.0187954,,2,2,
0.1,9,0.0099484,,2,3,
0.1,3,0.0097027,,2,1,
0.05,12,0.0082114,,1,4,
0.05,9,0.0097493,,1,3,
0.2,3,0.0105459,,3,1,
0.2,9,0.0109628,,3,3,
0.2,6,0.010957,,3,2,
0.1,12,0.0102673,,2,4,
0.2,12,0.0101006,,3,4,
0.05,6,0.0099022,,1,2,
0.05,3,0.0084299,,1,1,
0.1,12,0.0221051,,2,4,
0.2,3,0.0094382,,3,1,
0.05,3,0.0095908,,1,1,
0.05,6,0.0088387,,1,2,
0.1,9,0.0077727,,2,3,
0.2,9,0.0117453,,3,3,
0.05,12,0.0080593,,1,4,
0.1,6,0.0072713,,2,2,
0.1,3,0.0098939,,2,1,
0.05,9,0.0106869,,1,3,
0.2,6,0.0108962,,3,2,
0.2,12,0.0084743,,3,4,
0.05,9,0.0206356,,1,3,
0.05,3,0.0090312,,1,1,
0.05,6,0.0080962,,1,2,
0.2,3,0.0104912,,3,1,
0.2,6,0.0085935,,3,2,
0.2,12,0.0098458,,3,4,
0.2,9,0.0079085,,3,3,
0.1,12,0.0096424,,2,4,
0.1,9,0.0097981,,2,3,
0.1,3,0.0092972,,2,1,
0.1,6,0.0092975,,2,2,
0.05,12,0.0090957,,1,4,
0.2,6,0.0201899,,3,2,
0.2,3,0.0080285,,3,1,
0.1,12,0.0060399,,2,4,
0.1,6,0.0100567,,2,2,
0.05,12,0.0103112,,1,4,
0.05,3,0.0094639,,1,1,
0.1,3,0.0151293,,2,1,
0.2,9,0.009796,,3,3,
0.05,6,0.0074981,,1,2,
0.1,9,0.0124865,,2,3,
0.05,9,0.0123588,,1,3,
0.2,12,0.0092441,,3,4,
0.2,6,0.0202606,,3,2,
0.05,12,0.0071535,,1,4,
0.2,12,0.0090728,,3,4,
0.1,3,0.0115886,,2,1,
0.05,6,0.0086624,,1,2,
0.1,6,0.0112791,,2,2,
0.05,3,0.0101935,,1,1,
0.2,3,0.0064428,,3,1,
0.1,9,0.0094397,,2,3,
0.1,12,0.0120098,,2,4,
0.2,9,0.0113753,,3,3,
0.05,9,0.0108252,,1,3,
0.2,6,0.0195065,,3,2,
0.05,12,0.0119175,,1,4,
0.05,6,0.0118751,,1,2,
0.1,6,0.0123113,,2,2,
0.2,12,0.0097178,,3,4,
0.05,9,0.0103257,,1,3,
0.2,3,0.0117408,,3,1,
0.2,9,0.0106254,,3,3,
0.1,3,0.0103357,,2,1,
0.05,3,0.0062786,,1,1,
0.1,9,0.009807,,2,3,
0.1,12,0.011208,,2,4,
0.05,6,0.0190554,,1,2,
0.1,6,0.0118108,,2,2,
0.2,6,0.0097695,,3,2,
0.05,3,0.0108255,,1,1,
0.2,3,0.011708,,3,1,
0.2,12,0.0064939,,3,4,
0.2,9,0.0088926,,3,3,
0.1,3,0.0107437,,2,1,
0.1,9,0.0101746,,2,3,
0.1,12,0.0096619,,2,4,
0.05,12,0.011243,,1,4,
0.05,9,0.0081977,,1,3,
0.1,6,0.0191502,,2,2,
0.1,9,0.0098744,,2,3,
0.05,9,0.0105869,,1,3,
0.2,12,0.0098704,,3,4,
0.05,6,0.010203,,1,2,
0.2,3,0.0099351,,3,1,
0.05,12,0.0114389,,1,4,
0.1,12,0.008493,,2,4,
0.1,3,0.0094081,,2,1,
0.2,6,0.0099544,,3,2,
0.2,9,0.0101509,,3,3,
0.05,3,0.0106591,,1,1,
0.05,6,0.0133172,,1,2,
0.1,12,0.0098456,,2,4,
0.05,12,0.0092139,,1,4,
0.2,9,0.0088594,,3,3,
0.05,9,0.0100516,,1,3,
0.1,3,0.0124643,,2,1,
0.1,9,0.0099076,,2,3,
0.1,6,0.011088,,2,2,
0.2,6,0.0101247,,3,2,
0.2,12,0.0097481,,3,4,
0.05,3,0.0068338,,1,1,
0.2,3,0.0088774,,3,1,
0.05,12,0.0215657,,1,4,
0.2,9,0.0093186,,3,3,
0.2,3,0.010449,,3,1,
0.05,6,0.0103441,,1,2,
0.05,3,0.0124477,,1,1,
0.05,9,0.0102025,,1,3,
0.2,6,0.0095298,,3,2,
0.1,9,0.011056,,2,3,
0.1,3,0.0094365,,2,1,
0.1,6,0.0125327,,2,2,
0.2,12,0.0099603,,3,4,
0.1,12,0.010243,,2,4,
0.05,12,0.0208369,,1,4,
0.1,6,0.0103629,,2,2,
